date,tracking_code,campaignname,adgroup,keyword,Impressions,Clicks, cost 
2016-12-25,ps_ggl_51375,B2C_NB_China Economy_Standard,China Economy Broad Match Modify,+chinese +economy,112.00,6,11.02
2016-12-25,ps_ggl_63239,B2C_NB_Fed Volatility_Standard,US Interest Rates Broad Match Modified,+interest +rate +in +usa,44.00,6,35.59
2016-12-25,ps_ggl_63111,B2C_NB_Fed Volatility_Standard,US Interest Rates Broad Match Modified,+national +interest +rate,53.00,6,49.20
2016-12-25,ps_ggl_63233,B2C_NB_Fed Volatility_Standard,Interest Rates Broad Match Modified,+interest +rate +trends,82.00,6,59.29
2016-12-25,ps_ggl_63177,B2C_NB_Fed Volatility_Standard,Federal Reserve Broad Match Modified,+federal +reserve +interest +rates,83.00,6,42.94
2016-12-25,ps_ggl_63203,B2C_NB_Fed Volatility_Standard,Interest Rates Raise Broad Match Modified,+raising +interest +rates,127.00,6,21.07
2016-12-25,ps_ggl_63113,B2C_NB_Fed Volatility_Standard,Federal Interest Rate Broad Match Modified,+federal +interest +rates,149.00,6,81.57
2016-12-25,ps_msn_63778,B2C_NB_Fed Volatility_Standard,Federal Reserve Broad Match Modified,+federal +reserve,329.00,6,9.17
2016-12-25,ps_ggl_41207,B2C_NB_Growth Funds_Standard,Growth Fund Phrase,growth fund,121.00,6,91.10
2016-12-25,ps_ggl_50835,B2C_NB_Market Fluctuations_Past Market Declines,Stock Market Performance Broad Match Modify,+stock +market +stocks,311.00,6,26.71
2016-12-25,ps_ggl_41149,B2C_NB_Retirement Plans_Standard,Retirement Plan Phrase,retirement plans,358.00,6,51.93
2016-12-25,ps_ggl_41133,B2C_BR_College 529_Standard,Company X  College 529 Broad Match Modify,+company +x college 529,18.00,7,9.21
2016-12-25,ps_ggl_40693,B2C_BR_Retirement Plans_Standard,Company X  Retirement Plans Broad Match Modify,+company +x retirement plan,15.00,7,3.39
