date_time,tracking_code,visits,page_view,TOOL_STARTS,TOOL_COMPLETES,LIT_DOWNLOADSS,TOOL_DOWNLOADS,VID_STARTS, Sales 
7/1/2016,ds_9291572_1852306_128475693_299587824_67439960,29,29,0,0,0,0,0,261.98
7/1/2016,ps_ggl_34859,29,82,0,0,0,0,0,485.84
7/1/2016,ps_ggl_41772,29,210,1,0,2,0,0,519.91
7/1/2016,ps_ggl_37676,27,54,0,0,0,0,0,633.55
7/1/2016,ps_msn_38340,26,29,0,0,0,0,0,573.94
7/1/2016,Vanity20021,26,339,1,0,1,0,0,1341.10
7/1/2016,ps_ggl_41138,24,45,4,1,0,0,0,19.19
7/1/2016,ps_msn_38923,24,37,0,0,0,0,0,282.05
7/1/2016,ps_ggl_35128,23,33,1,1,0,0,0,205.02
7/1/2016,ps_ggl_41582,23,125,0,0,0,0,0,228.85
7/1/2016,ps_ggl_41988,23,124,1,1,1,0,0,1014.16
7/1/2016,Vanity20039,22,91,0,0,0,0,0,183.52
7/1/2016,ds_9291572_1312649_126155479_299137099_68165803,21,25,0,0,1,0,0,584.00
7/1/2016,ps_ggl_40638,20,112,0,0,0,0,0,604.70
7/1/2016,ps_msn_38772,20,170,1,0,2,0,0,702.31
7/1/2016,ps_ggl_40857,20,63,0,0,0,0,0,823.39
7/1/2016,ps_msn_38640,19,53,2,1,0,0,0,387.48
7/1/2016,ps_ggl_41133,19,136,0,0,2,0,0,633.02
7/1/2016,ps_msn_38705,19,29,1,0,0,0,0,859.43
7/1/2016,ps_ggl_50672,19,19,0,0,0,0,0,1120.81
7/1/2016,ps_msn_36351,18,138,0,0,0,0,0,8.54
7/1/2016,ps_msn_50557,18,23,0,0,0,0,0,13.03
7/1/2016,ps_ggl_35044,18,51,1,0,0,0,0,40.39
7/1/2016,ps_msn_50549,18,22,0,0,0,0,0,127.32
7/1/2016,ps_ggl_34834,18,29,0,0,0,0,0,780.59
7/1/2016,ps_ggl_36748,18,41,0,0,2,0,0,972.41
7/1/2016,ds_9291572_1855905_126150868_299587824_67439960,18,18,0,0,0,0,0,1796.49
7/1/2016,ds_9291572_1855905_126154313_299587824_67439960,17,22,0,0,0,0,0,119.43
7/1/2016,ds_9291572_1559768_126154387_299587824_67439960,17,19,0,0,0,0,0,393.05
7/1/2016,76639552,16,155,0,0,0,0,0,21.92
7/1/2016,ps_ggl_34790,16,27,0,0,0,0,0,316.31
7/1/2016,ps_ggl_40693,16,52,0,0,0,0,0,1148.16
7/1/2016,ds_9291572_1852306_126155005_299137166_67439960,15,17,0,0,0,0,0,95.73
7/1/2016,ps_msn_38363,15,82,0,0,1,0,0,1353.96
7/1/2016,ps_ggl_41575,14,59,0,0,0,0,0,136.27
7/1/2016,ds_9291572_1312649_126155479_299137099_70324694,14,15,0,0,0,0,0,438.02
7/1/2016,ds_9291572_2385165_126150817_302952982_0,14,15,0,0,0,0,0,575.85
7/1/2016,ps_ggl_34816,14,67,0,0,0,0,0,731.82
7/1/2016,76639551,13,87,0,0,0,0,0,19.92
7/1/2016,ds_9291572_1312649_126155479_299137099_69123842,13,19,0,0,0,0,0,266.97
7/1/2016,ds_9291572_1312649_126155479_299137099_68162955,13,13,0,0,0,0,0,498.03
7/1/2016,ps_msn_38644,13,36,4,4,0,0,0,1744.58
7/1/2016,ps_msn_39104,12,36,1,0,0,0,0,242.01
7/1/2016,ps_ggl_37644,12,49,4,3,0,0,0,378.82
7/1/2016,ds_9291572_1312649_126155481_299137473_68164252,12,18,0,0,0,0,0,387.69
